checkout_id,member_id,first_name,last_name,grade,neighborhood,membership_status,join_date,book_id,checkout_date,return_date,genre,pages,publication_year,publisher,source
9263.0,1047,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,517,2024-10-21,2024-11-07,Mystery,338,2015.0,Delta House,Library Database + JSON
9340.0,1072,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,513,2025-08-24,2025-09-01,Science,294,2021.0,Oasis Books,Library Database + JSON
9231.0,1053,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,523,2024-02-04,2024-02-16,Historical,276,2018.0,Oasis Books,Library Database + JSON
9129.0,1032,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,513,2025-06-21,2025-06-29,Science,294,2021.0,Oasis Books,Library Database + JSON
9370.0,1079,Rana,Osman,8.0,Shubra,Active,2024-10-27,511,2025-11-11,2025-12-03,Historical,117,2016.0,Nile Press,Library Database + JSON
9082.0,1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,528,2025-11-11,2025-11-18,Nature,114,2010.0,Delta House,Library Database + JSON
9238.0,1057,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,513,2024-03-28,2024-04-08,Science,294,2021.0,Oasis Books,Library Database + JSON
9012.0,1010,Nour,Nabil,6.0,Maadi,Active,2024-05-15,501,2025-02-17,,Adventure,128,2017.0,Nile Press,Library Database + JSON
9127.0,1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,506,2025-06-13,,Friendship,183,,Nile Press,Library Database + JSON
9020.0,1016,Dina,Rashad,8.0,Maadi,Active,2023-04-24,506,2024-04-15,2024-05-04,Friendship,183,,Nile Press,Library Database + JSON
9208.0,1044,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19,525,2024-07-10,2024-08-01,Adventure,297,2015.0,Oasis Books,Library Database + JSON
9319.0,1065,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,515,2025-02-10,2025-02-21,Poetry,316,2022.0,Cairo Young Readers,Library Database + JSON
9097.0,1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,501,2025-10-05,2025-10-14,Adventure,128,2017.0,Nile Press,Library Database + JSON
9137.0,1041,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,519,2025-07-27,2025-08-05,Friendship,157,2014.0,Nile Press,Library Database + JSON
9157.0,1032,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,525,2024-03-04,2024-04-03,Adventure,297,2015.0,Oasis Books,Library Database + JSON
9383.0,1070,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,501,2024-07-11,2024-07-31,Adventure,128,2017.0,Nile Press,Library Database + JSON
9131.0,1034,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,505,2025-12-16,2025-12-25,Historical,216,2024.0,Oasis Books,Library Database + JSON
9113.0,1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,507,2024-06-26,2024-07-08,Science,160,2024.0,Nile Press,Library Database + JSON
9144.0,1024,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,501,2025-11-07,2025-11-25,Adventure,128,2017.0,Nile Press,Library Database + JSON
9005.0,1008,Ziad,Saleh,8.0,Maadi,Active,2025-10-28,513,2025-04-20,2025-04-29,Science,294,2021.0,Oasis Books,Library Database + JSON
9272.0,1044,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19,518,2025-01-24,2025-02-04,Adventure,163,2011.0,Delta House,Library Database + JSON
9283.0,1072,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,513,2025-09-17,2025-09-25,Science,294,2021.0,Oasis Books,Library Database + JSON
9030.0,1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,507,2025-03-09,,Science,160,2024.0,Nile Press,Library Database + JSON
9291.0,1065,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,526,2024-03-25,2024-03-31,Science Fiction,125,2016.0,Delta House,Library Database + JSON
9369.0,1076,Dina,Wahba,7.0,Shubra,Active,2025-12-13,501,2025-06-05,,Adventure,128,2017.0,Nile Press,Library Database + JSON
9225.0,1059,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,516,2025-08-06,2025-08-22,Nature,241,2010.0,Nile Press,Library Database + JSON
9256.0,1059,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,521,2025-07-09,,Science,211,2024.0,Cairo Young Readers,Library Database + JSON
9234.0,1053,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,525,2024-02-13,2024-03-06,Adventure,297,2015.0,Oasis Books,Library Database + JSON
9152.0,1030,Reem,Osman,,Nasr City,Active,2025-04-01,525,2025-01-03,,Adventure,297,2015.0,Oasis Books,Library Database + JSON
9063.0,1018,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,515,2024-10-22,,Poetry,316,2022.0,Cairo Young Readers,Library Database + JSON
9161.0,1040,Dina,Adel,9.0,Nasr City,Active,2025-12-26,519,2025-10-11,2025-11-01,Friendship,157,2014.0,Nile Press,Library Database + JSON
9206.0,1050,Fares,Adel,6.0,Heliopolis,Inactive,2025-09-10,519,2024-03-17,,Friendship,157,2014.0,Nile Press,Library Database + JSON
9031.0,1020,Rana,Fouad,6.0,Maadi,Active,2025-12-04,530,2025-12-28,2026-01-05,Adventure,208,2012.0,Oasis Books,Library Database + JSON
9189.0,1032,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,507,2025-12-08,2025-12-16,Science,160,2024.0,Nile Press,Library Database + JSON
9288.0,1065,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,519,2025-03-20,2025-03-31,Friendship,157,2014.0,Nile Press,Library Database + JSON
9236.0,1052,Retaj,Adel,7.0,Heliopolis,Active,2025-06-07,507,2024-09-02,2024-09-29,Science,160,2024.0,Nile Press,Library Database + JSON
9360.0,1077,Lina,Rashad,6.0,Shubra,Active,2023-07-08,520,2024-03-04,2024-03-16,Science Fiction,136,2009.0,Oasis Books,Library Database + JSON
9111.0,1027,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,510,2024-09-12,2024-10-03,Mystery,134,2013.0,Cairo Young Readers,Library Database + JSON
9342.0,1068,Layla,Hegazy,8.0,Zamalek,Inactive,2025-02-24,501,2025-05-28,2025-06-27,Adventure,128,2017.0,Nile Press,Library Database + JSON
9380.0,1022,Youssef,Fouad,7.0,Maadi,Active,2025-02-28,513,2024-04-22,2024-04-28,Science,294,2021.0,Oasis Books,Library Database + JSON
